#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2016-03-12-19-00-04
ts	uid	id_orig_h	id_orig_p	id_resp_h	id_resp_p	trans_depth	method	host	uri	referrer	version	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
1457827204.348759	Ca5SLc1JzhAaT7Lhgj	10.180.226.118	1128	52.34.243.80	80	1	GET	pushmore.wup.shop.nintendo.net	/pushmore/r/7d59d1074262d2b635bd4861a0967eef	-	1.1	-	0	0	404	Not Found	-	-	-	(empty)	-	-	-	-	-	-	-
1457827309.187357	CP7kfY3qnQPOetHwAl	10.180.226.118	46634	54.192.37.72	80	1	GET	d25xi40x97liuc.cloudfront.net	/da9a2078-8a8f-47e9-9b08-1f933942339e_240w.bif?Expires=1457863308&Signature=dA6XZ3yEHYynqQdwDtqEVkQU-fXLn8hHJZ-vmZHMOaTL1eM4K9~x6LbLGM4W9fBgfJzwZJEX2n4DRukf7u9otdmivVj0Y8a0H1ZX5o8sN-I-ponhYv2qiNvKkvdWxxrPw~Anf2wY19DPMaUXJFwg9uLkk-z4BVIdUX2TSGHOdcd2TaN0C4v23eL4oXrb6uH491klvZWwOw9hTaXndnvyULw0gKrxZEc~uch5kSJHjFHOR-2GumNdhx9YVzFJkwvvza4OnMbL93o5idMaMtncvc2gNhYoODYJFPH9wmWZ-2U2Zb34jNuod8Bk0-84afqjdlQ4ZCMVZXaFM5D2Q539hQ__&Key-Pair-Id=APKAJIYEUF5P2E3CCYTA	-	1.1	Roku/DVP-3.1 (013.01E01198A)	0	57474	200	OK	-	-	-	(empty)	-	-	-	-	-	FuU2m13AIquE9eraN3	-
1457827309.391638	CMZ7izqBufQnjWpmg	10.180.226.118	33696	54.192.37.177	80	1	GET	d25xi40x97liuc.cloudfront.net	/da9a2078-8a8f-47e9-9b08-1f933942339e_240w.bif?Expires=1457863308&Signature=dA6XZ3yEHYynqQdwDtqEVkQU-fXLn8hHJZ-vmZHMOaTL1eM4K9~x6LbLGM4W9fBgfJzwZJEX2n4DRukf7u9otdmivVj0Y8a0H1ZX5o8sN-I-ponhYv2qiNvKkvdWxxrPw~Anf2wY19DPMaUXJFwg9uLkk-z4BVIdUX2TSGHOdcd2TaN0C4v23eL4oXrb6uH491klvZWwOw9hTaXndnvyULw0gKrxZEc~uch5kSJHjFHOR-2GumNdhx9YVzFJkwvvza4OnMbL93o5idMaMtncvc2gNhYoODYJFPH9wmWZ-2U2Zb34jNuod8Bk0-84afqjdlQ4ZCMVZXaFM5D2Q539hQ__&Key-Pair-Id=APKAJIYEUF5P2E3CCYTA	-	1.1	Roku/DVP-3.1 (013.01E01198A)	0	1139552	200	OK	-	-	-	(empty)	-	-	-	-	-	F0EI1A9AYy0OYnw0b	-
1457827461.082698	CPwMot3O2prreMrM9g	10.180.226.118	43371	23.235.46.67	80	1	GET	static0.fitbit.com	/content/mobile/2bfcf64c/info/info_en.json	-	1.1	Dalvik/2.1.0 (Linux; U; Android 5.1.1; XT1585 Build/LCK23.130-23)	0	535	200	OK	-	-	-	(empty)	-	-	-	-	-	Fw1Uyz29KjMIaRM5lc	text/json
1457827491.169505	CxvSCUomotmjJ9loc	10.180.226.118	55623	54.192.37.61	80	1	GET	d25xi40x97liuc.cloudfront.net	/7bf66fda-7f24-48b3-b41b-b12631951db4_240w.bif?Expires=1457863490&Signature=YGe0XiA8AWpwgE0cU7VSEqYct1I8gN3sOJtXyH0scKc~SN32Ktkq78qzEN1Fw9MS4prgqFr1Ubk3O-75lA1~kVIpvimZT7SJOV73UfRjmriOaRF7C7SJPUKYdvmY4MaDZjB3x5Zm6m9JqGakuUItPqy6tqHpCHJ219tCLIN3TInw8u4lWrjdkzB7Ua7ooy1XKPF0Mxusi2KbbNeny1eARdE7AZ6KqKGq4Pe44f7A6WN7xphP-a5-0i0l50WEr6nO2CD-aiE5RJrE0iKF~DT4eF1w-7A87GJS98qBhIfjWCF4Ci58LkZonrWeaCLK3eijkUXg~PcQbdUIQrfCFik-Ww__&Key-Pair-Id=APKAJIYEUF5P2E3CCYTA	-	1.1	Roku/DVP-3.1 (013.01E01198A)	0	60370	200	OK	-	-	-	(empty)	-	-	-	-	-	Fakosj1KlQIlQ0NHka	-
1457827491.385032	CpGkub3tvtBNyIrnec	10.180.226.118	40213	54.192.37.69	80	1	GET	d25xi40x97liuc.cloudfront.net	/7bf66fda-7f24-48b3-b41b-b12631951db4_240w.bif?Expires=1457863490&Signature=YGe0XiA8AWpwgE0cU7VSEqYct1I8gN3sOJtXyH0scKc~SN32Ktkq78qzEN1Fw9MS4prgqFr1Ubk3O-75lA1~kVIpvimZT7SJOV73UfRjmriOaRF7C7SJPUKYdvmY4MaDZjB3x5Zm6m9JqGakuUItPqy6tqHpCHJ219tCLIN3TInw8u4lWrjdkzB7Ua7ooy1XKPF0Mxusi2KbbNeny1eARdE7AZ6KqKGq4Pe44f7A6WN7xphP-a5-0i0l50WEr6nO2CD-aiE5RJrE0iKF~DT4eF1w-7A87GJS98qBhIfjWCF4Ci58LkZonrWeaCLK3eijkUXg~PcQbdUIQrfCFik-Ww__&Key-Pair-Id=APKAJIYEUF5P2E3CCYTA	-	1.1	Roku/DVP-3.1 (013.01E01198A)	0	1063708	200	OK	-	-	-	(empty)	-	-	-	-	-	F6pm8mWiFgWIKnv63	-
1457827625.225419	ChlImM3Bf1wl6ahMQh	10.180.226.118	55830	184.73.155.127	80	1	GET	nrd-api.netflix.com	/oauth/clock/time/?application=Roku netflix browse&application_v=013.01E01198A&device_type=D0D0730014&esn=D0D073001419&oauth_consumer_key=5f4spdyd4tvwt4wbn25tjsqy&v=1.5	-	1.1	Roku/DVP-3.1 (013.01E01198A)	0	23	200	OK	-	-	-	(empty)	-	-	-	-	-	FN2gq43xkvz29k61r3	text/plain
1457827625.260752	CTbgvv1sLTAcZFS5Wk	10.180.226.118	55831	184.73.155.127	80	1	GET	nrd-api.netflix.com	/users/T16OhiRTMH2WSZozzF.DgjZRMpGZufee4kF607NoTCkNw-/queues/instant/available?application=Roku netflix browse&application_v=013.01E01198A&client=http://schemas.netflix.com/clients/roku&device_type=D0D0730014&esn=D0D073001419&expand=@title,@box_art,@short_synopsis,@directors,@cast,@episodes,@formats,@format_availability&max_results=50&oauth_consumer_key=5f4spdyd4tvwt4wbn25tjsqy&oauth_nonce=421443773&oauth_signature=4I8COoTlC3QHML9qIo4YKV+l9+w=&oauth_signature_method=HMAC-SHA1&oauth_timestamp=1457827785&oauth_token=BQAJAAEDEKR5RakxIDJTPHEVxXDxnfQwF9Gg6pQZg0i2vHHhl7FqymUOlDGZksgDuPb45Stij87CEcGA9NBqknwf9_65lorE&oauth_version=1.0&start_index=0&v=1.5	-	1.1	Roku/DVP-3.1 (013.01E01198A)	0	612807	200	OK	-	-	-	(empty)	-	-	-	-	-	FB6Vbz24yuPEmlHqS4	application/xml
1457827626.992483	ChlImM3Bf1wl6ahMQh	10.180.226.118	55830	184.73.155.127	80	2	GET	nrd-api.netflix.com	/users/T16OhiRTMH2WSZozzF.DgjZRMpGZufee4kF607NoTCkNw-/ratings/title?application=Roku netflix browse&application_v=013.01E01198A&device_type=D0D0730014&esn=D0D073001419&oauth_consumer_key=5f4spdyd4tvwt4wbn25tjsqy&oauth_nonce=564266743&oauth_signature=FUp/cItx+yhbSFGDYdh1KAGpPxw=&oauth_signature_method=HMAC-SHA1&oauth_timestamp=1457827787&oauth_token=BQAJAAEDEKR5RakxIDJTPHEVxXDxnfQwF9Gg6pQZg0i2vHHhl7FqymUOlDGZksgDuPb45Stij87CEcGA9NBqknwf9_65lorE&oauth_version=1.0&title_refs=http://api.netflix.com/catalog/titles/movies/70295411,http://api.netflix.com/catalog/titles/series/80017038,http://api.netflix.com/catalog/titles/series/70300800,http://api.netflix.com/catalog/titles/movies/70272917,http://api.netflix.com/catalog/titles/series/70242081,http://api.netflix.com/catalog/titles/series/70136138,http://api.netflix.com/catalog/titles/series/70175658,http://api.netflix.com/catalog/titles/series/70143825,http://api.netflix.com/catalog/titles/movies/70135757,http://api.netflix.com/catalog/titles/movies/60021779,http://api.netflix.com/catalog/titles/movies/60004466,http://api.netflix.com/catalog/titles/series/70171964,http://api.netflix.com/catalog/titles/series/70213010,http://api.netflix.com/catalog/titles/movies/70018726,http://api.netflix.com/catalog/titles/movies/70020793,http://api.netflix.com/catalog/titles/movies/70001560,http://api.netflix.com/catalog/titles/series/70143824,http://api.netflix.com/catalog/titles/series/70136124,http://api.netflix.com/catalog/titles/series/70171942,http://api.netflix.com/catalog/titles/series/70242310,http://api.netflix.com/catalog/titles/movies/70105598,http://api.netflix.com/catalog/titles/series/70177057,http://api.netflix.com/catalog/titles/series/70258489,http://api.netflix.com/catalog/titles/series/70266352,http://api.netflix.com/catalog/titles/series/70221438,http://api.netflix.com/catalog/titles/series/70140457,http://api.netflix.com/catalog/titles/series/70221401,http://api.netflix.com/catalog/titles/series/70177059,http://api.netflix.com/catalog/titles/series/70270742,http://api.netflix.com/catalog/titles/series/70236306,http://api.netflix.com/catalog/titles/series/70230744,http://api.netflix.com/catalog/titles/series/70235379,http://api.netflix.com/catalog/titles/series/70202589,http://api.netflix.com/catalog/titles/series/70208522,http://api.netflix.com/catalog/titles/series/70136130,http://api.netflix.com/catalog/titles/series/70136117,http://api.netflix.com/catalog/titles/movies/70117580,http://api.netflix.com/catalog/titles/movies/70117306,http://api.netflix.com/catalog/titles/series/70272726,http://api.netflix.com/catalog/titles/series/70291306,http://api.netflix.com/catalog/titles/series/70140458,http://api.netflix.com/catalog/titles/series/70185133,http://api.netflix.com/catalog/titles/series/70177067,http://api.netflix.com/catalog/titles/series/70269479,http://api.netflix.com/catalog/titles/movies/70241593,http://api.netflix.com/catalog/titles/series/70242520,http://api.netflix.com/catalog/titles/series/70180183,http://api.netflix.com/catalog/titles/series/70197057,http://api.netflix.com/catalog/titles/movies/70297087,http://api.netflix.com/catalog/titles/series/80018294&v=1.5	-	1.1	Roku/DVP-3.1 (013.01E01198A)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1457827817.667209	CIIOf64PKpsCrtnVFl	10.180.226.118	36642	23.15.8.57	80	1	GET	g-ec2.images-amazon.com	/images/G/01/digital/video/roku/client/menuTiles_HD_15_watchNext._V292340877_.jpg	-	1.1	Roku/DVP-7.0 (037.00E09044A)	0	4760	200	OK	-	-	-	(empty)	-	-	-	-	-	FyF6bpMG8rltntOmg	image/jpeg
